duration_s,forward_progress_m,blocked_time_s,pinned_time_s,collisions,success,start_to_goal_m
0.020,0.000,0.000,0.000,0,false,12.959
0.040,1.535,0.000,0.000,0,false,11.563
0.060,3.146,0.000,0.000,0,false,8.463
0.060,2.872,0.000,0.000,0,false,3.722
0.020,0.000,0.000,0.000,0,true,0.173
0.020,0.000,0.000,0.000,0,false,12.959
0.040,1.543,0.000,0.000,0,false,11.567
0.060,3.155,0.000,0.000,0,false,8.454
0.060,2.877,0.000,0.000,0,false,3.710
0.020,0.000,0.000,0.000,0,true,0.169
0.020,0.000,0.000,0.000,0,false,12.959
0.040,1.470,0.000,0.000,0,false,11.576
0.060,3.082,0.000,0.000,0,false,8.572
0.060,2.958,0.000,0.000,0,false,3.894
0.020,0.000,0.000,0.000,0,true,0.184
0.020,0.000,0.000,0.000,0,false,12.959
0.040,1.543,0.000,0.000,0,false,11.562
0.060,3.157,0.000,0.000,0,false,8.447
0.060,2.876,0.000,0.000,0,true,3.697
0.020,0.000,0.000,0.000,0,true,0.164
0.020,0.000,0.000,0.000,0,false,12.959
0.040,1.542,0.000,0.000,0,false,11.548
0.060,3.168,0.000,0.000,0,false,8.429
0.060,2.861,0.000,0.000,0,false,3.664
0.020,0.000,0.000,0.000,0,true,0.159
0.020,0.000,0.000,0.000,0,false,12.959
0.040,1.548,0.000,0.000,0,false,11.573
0.060,3.160,0.000,0.000,0,false,8.465
0.060,2.875,0.000,0.000,0,false,3.715
0.020,0.000,0.000,0.000,0,true,0.169
0.020,0.000,0.000,0.000,0,false,12.959
0.040,1.547,0.000,0.000,0,false,11.570
0.060,3.147,0.000,0.000,0,false,8.446
0.060,2.875,0.000,0.000,0,false,3.710
0.020,0.000,0.000,0.000,0,true,0.168
0.020,0.000,0.000,0.000,0,false,12.959
0.040,1.533,0.000,0.000,0,false,11.585
0.060,3.146,0.000,0.000,0,false,8.478
0.060,2.879,0.000,0.000,0,false,3.737
0.020,0.000,0.000,0.000,0,true,0.177
0.020,0.000,0.000,0.000,0,false,12.959
0.040,1.536,0.000,0.000,0,false,11.573
0.060,3.153,0.000,0.000,0,false,8.469
0.060,2.879,0.000,0.000,0,false,3.725
0.020,0.000,0.000,0.000,0,true,0.172
0.020,0.000,0.000,0.000,0,false,12.959
0.040,1.551,0.000,0.000,0,false,11.564
0.060,0.797,0.000,0.000,0,false,8.436
0.060,0.000,0.000,0.000,0,false,7.632
0.060,0.002,0.000,0.000,0,false,7.636
0.060,0.000,0.000,0.000,0,false,7.637
0.040,0.007,0.000,0.000,0,false,7.642
0.060,0.001,0.000,0.000,0,false,7.637
0.060,0.006,0.000,0.000,0,false,7.641
0.060,0.003,0.000,0.000,0,false,7.640
0.060,0.000,0.000,0.000,0,false,7.636
0.040,0.007,0.000,0.000,0,false,7.634
0.060,0.000,0.000,0.000,0,false,7.624
0.060,0.002,0.000,0.000,0,false,7.630
0.060,0.003,0.000,0.000,0,false,7.637
0.040,0.000,0.000,0.000,0,false,7.632
0.060,0.000,0.000,0.000,0,false,7.628
0.060,0.000,0.000,0.000,0,false,7.628
0.060,0.000,0.000,0.000,0,false,7.630
0.060,0.005,0.000,0.000,0,false,7.637
0.020,0.000,0.000,0.000,0,false,12.959
0.040,1.479,0.000,0.000,0,false,11.596
0.060,3.205,0.000,0.000,0,false,8.567
0.060,2.890,0.000,0.000,0,false,3.766
0.020,0.000,0.000,0.000,0,true,0.182
0.020,0.000,0.000,0.000,0,false,12.959
0.040,1.483,0.000,0.000,0,false,11.602
0.060,3.210,0.000,0.000,0,false,8.573
0.060,2.895,0.000,0.000,0,false,3.770
0.020,0.000,0.000,0.000,0,true,0.179
0.020,0.000,0.000,0.000,0,false,12.959
0.040,1.491,0.000,0.000,0,false,11.590
0.060,3.215,0.000,0.000,0,false,8.542
0.060,2.901,0.000,0.000,0,false,3.731
0.020,0.000,0.000,0.000,0,true,0.174
0.020,0.000,0.000,0.000,0,false,12.959
0.040,1.496,0.000,0.000,0,false,11.591
0.060,3.215,0.000,0.000,0,false,8.544
0.060,2.904,0.000,0.000,0,false,3.748
0.020,0.000,0.000,0.000,0,true,0.167
0.020,0.000,0.000,0.000,0,false,12.959
0.040,0.807,0.000,0.000,0,false,11.655
0.060,3.217,0.000,0.000,0,false,9.345
0.060,3.044,0.000,0.000,0,false,4.770
0.040,0.496,0.000,0.000,0,true,0.578
0.020,0.000,0.000,0.000,0,false,12.959
0.040,0.780,0.000,0.000,0,false,11.669
0.060,3.210,0.000,0.000,0,false,9.389
0.060,3.021,0.000,0.000,0,false,4.822
0.040,0.535,0.000,0.000,0,true,0.633
0.020,0.000,0.000,0.000,0,false,12.959
0.040,0.267,0.000,0.000,0,false,11.637
0.060,0.016,0.000,0.000,0,false,11.425
0.060,0.000,0.000,0.000,0,false,11.407
0.060,0.023,0.000,0.000,0,false,11.428
0.060,0.000,0.000,0.000,0,false,11.407
0.040,0.020,0.000,0.000,0,false,11.430
0.060,0.035,0.000,0.000,0,false,11.429
0.060,0.005,0.000,0.000,0,false,11.395
0.060,0.000,0.000,0.000,0,false,11.432
0.060,0.005,0.000,0.000,0,false,11.433
0.040,0.003,0.000,0.000,0,false,11.432
0.060,0.002,0.000,0.000,0,false,11.431
0.060,0.003,0.000,0.000,0,false,11.435
0.060,0.006,0.000,0.000,0,false,11.432
0.040,0.000,0.000,0.000,0,false,11.429
0.060,0.003,0.000,0.000,0,false,11.431
0.060,0.000,0.000,0.000,0,false,11.430
0.060,0.003,0.000,0.000,0,false,11.433
0.060,0.000,0.000,0.000,0,false,11.433
0.040,0.000,0.000,0.000,0,false,11.434
0.060,0.003,0.000,0.000,0,false,11.436
0.020,0.000,0.000,0.000,0,false,12.959
0.040,0.419,0.000,0.000,0,false,11.659
0.060,0.000,0.000,0.000,0,false,11.252
0.060,0.000,0.000,0.000,0,false,11.273
